 sigma:,   4.9999178317754273E-002 ,alpha:,  0.99734762502594820      ,m:,   2.2146812486336285     
 sigma_hat,alpha_hat,m_hat,sigma_hatError,alpha_hatError,m_hatError                                  
  0.75606766136368286      ,   1.0386638114875848      ,   1.7943321140897641      ,  0.75606766136368286      ,   1.0386638114875848      ,  -32664.205667885912     
   7.7247758809616179E-002 ,  0.99303361661098544      ,   2.6053978883849429      ,   7.7247758809616179E-002 ,  0.99303361661098544      ,  -32663.394602111613     
   3.7182772103464504E-002 ,   1.0021063594520725      ,   2.1220844179346217      ,   3.7182772103464504E-002 ,   1.0021063594520725      ,  -32663.877915582067     
   3.9457402806921109E-002 ,   1.0003939345718371      ,   2.1362261502991786      ,   3.9457402806921109E-002 ,   1.0003939345718371      ,  -32663.863773849702     
   3.8171783761798507E-002 ,   1.0011001446141619      ,   2.1271742031009127      ,   3.8171783761798507E-002 ,   1.0011001446141619      ,  -32663.872825796898     
   3.9673079297940790E-002 ,   1.0004059745888576      ,   2.1350964286405749      ,   3.9673079297940790E-002 ,   1.0004059745888576      ,  -32663.864903571361     
   3.9720917709494513E-002 ,   1.0003475336550331      ,   2.1370872839029689      ,   3.9720917709494513E-002 ,   1.0003475336550331      ,  -32663.862912716097     
   3.8672103101266474E-002 ,   1.0006739340324247      ,   2.1328429613336337      ,   3.8672103101266474E-002 ,   1.0006739340324247      ,  -32663.867157038665     
   3.8801304974576394E-002 ,   1.0010103345976322      ,   2.1262973280130559      ,   3.8801304974576394E-002 ,   1.0010103345976322      ,  -32663.873702671986     
   3.9305341691632682E-002 ,   1.0004419599869119      ,   2.1350235037304515      ,   3.9305341691632682E-002 ,   1.0004419599869119      ,  -32663.864976496268     
 sigma:,   4.9748779307313078E-002 ,alpha:,   1.0158617380768640      ,m:,   1.8974097122815192     
 sigma_hat,alpha_hat,m_hat,sigma_hatError,alpha_hatError,m_hatError                                  
  0.77246208218892742      ,   1.0726608241822970      ,   1.5000230159284420      ,  0.77246208218892742      ,   1.0726608241822970      ,  -32664.499976984072     
   7.9032543985968151E-002 ,   1.0110347545849590      ,   2.1608894407295183      ,   7.9032543985968151E-002 ,   1.0110347545849590      ,  -32663.839110559271     
   4.3074246711214799E-002 ,   1.0220279448057026      ,   1.8319309201070073      ,   4.3074246711214799E-002 ,   1.0220279448057026      ,  -32664.168069079893     
   4.4014593499420746E-002 ,   1.0194115477109036      ,   1.8491266453435535      ,   4.4014593499420746E-002 ,   1.0194115477109036      ,  -32664.150873354658     
   4.4458643078503043E-002 ,   1.0197431641375985      ,   1.8481765267941956      ,   4.4458643078503043E-002 ,   1.0197431641375985      ,  -32664.151823473207     
   4.4448562306651680E-002 ,   1.0194281002867720      ,   1.8508309532770311      ,   4.4448562306651680E-002 ,   1.0194281002867720      ,  -32664.149169046723     
   4.4303856979265373E-002 ,   1.0193989109866899      ,   1.8491937868442812      ,   4.4303856979265373E-002 ,   1.0193989109866899      ,  -32664.150806213154     
   4.3885041754003776E-002 ,   1.0199642420346746      ,   1.8432763212532155      ,   4.3885041754003776E-002 ,   1.0199642420346746      ,  -32664.156723678745     
   4.4493596258972715E-002 ,   1.0189710461127723      ,   1.8542246867285168      ,   4.4493596258972715E-002 ,   1.0189710461127723      ,  -32664.145775313271     
   4.4655679111744000E-002 ,   1.0191619670004868      ,   1.8528735586683518      ,   4.4655679111744000E-002 ,   1.0191619670004868      ,  -32664.147126441330     
 sigma:,   5.0435774172196822E-002 ,alpha:,  0.98169955602242076      ,m:,   2.1071638877322343     
 sigma_hat,alpha_hat,m_hat,sigma_hatError,alpha_hatError,m_hatError                                  
  0.79276278059452077      ,   1.0189819353453726      ,   1.7493971055942059      ,  0.79276278059452077      ,   1.0189819353453726      ,  -32664.250602894404     
   8.0670763554679031E-002 ,  0.97874325528454853      ,   2.4133611790639051      ,   8.0670763554679031E-002 ,  0.97874325528454853      ,  -32663.586638820936     
   4.2273683792089407E-002 ,  0.98515289136229522      ,   2.0283360089947768      ,   4.2273683792089407E-002 ,  0.98515289136229522      ,  -32663.971663991004     
   4.4810825950604850E-002 ,  0.98322111689936464      ,   2.0467350119631345      ,   4.4810825950604850E-002 ,  0.98322111689936464      ,  -32663.953264988038     
   4.3961520553456201E-002 ,  0.98363086358348850      ,   2.0417061885155809      ,   4.3961520553456201E-002 ,  0.98363086358348850      ,  -32663.958293811484     
   4.3428770676305128E-002 ,  0.98384624944692545      ,   2.0385884279630431      ,   4.3428770676305128E-002 ,  0.98384624944692545      ,  -32663.961411572036     
   4.3633474129786375E-002 ,  0.98349138135591729      ,   2.0427841690176733      ,   4.3633474129786375E-002 ,  0.98349138135591729      ,  -32663.957215830982     
   4.3880968983346376E-002 ,  0.98337105974795413      ,   2.0455022165723049      ,   4.3880968983346376E-002 ,  0.98337105974795413      ,  -32663.954497783427     
   4.3857277385477185E-002 ,  0.98325578549058812      ,   2.0453282796681349      ,   4.3857277385477185E-002 ,  0.98325578549058812      ,  -32663.954671720330     
   4.3871560612212271E-002 ,  0.98365302289900325      ,   2.0413321711461410      ,   4.3871560612212271E-002 ,  0.98365302289900325      ,  -32663.958667828854     
 sigma:,   4.9513399076246932E-002 ,alpha:,  0.99999279459319879      ,m:,   1.7319258861924629     
 sigma_hat,alpha_hat,m_hat,sigma_hatError,alpha_hatError,m_hatError                                  
  0.78317575253219729      ,   1.0516526532246446      ,   1.4174335146056536      ,  0.78317575253219729      ,   1.0516526532246446      ,  -32664.582566485395     
