i,sigma_hat,m_hat,alpha_hat,sigmaLogError,mLogError,alphaLogError
1520,5.84E-02,1.923569062,1.005012593,-4.775442567,-2.571367722,-5.295801907
1521,5.84E-02,1.929525576,1.004640856,-4.779834099,-2.652505422,-5.372856498
1522,5.83E-02,1.928533387,1.004702832,-4.788342769,-2.638524887,-5.359590426
1523,5.83E-02,1.926341834,1.004839915,-4.797289746,-2.608320262,-5.330858222
1524,5.82E-02,1.924470805,1.004957326,-4.80620477,-2.583236009,-5.306888808
1525,5.82E-02,1.934419954,1.004336758,-4.806728998,-2.724483806,-5.440628269
1526,5.82E-02,1.91322274,1.005671368,-4.808218259,-2.444410674,-5.17232495
1527,5.81E-02,1.897172215,1.006704601,-4.814009807,-2.274699676,-5.004961254
1528,5.80E-02,1.890280216,1.007154453,-4.823552257,-2.209825584,-4.940020283
1529,5.80E-02,1.898210357,1.00663754,-4.825829365,-2.284846923,-5.015013856
1530,5.80E-02,1.880793565,1.007782199,-4.83013521,-2.126898542,-4.855916367
1531,5.79E-02,1.88299115,1.007636681,-4.837243727,-2.145505708,-4.874792158
1532,5.79E-02,1.886527499,1.007403088,-4.843466849,-2.176194755,-4.905858021
1533,5.79E-02,1.894679031,1.006867961,-4.845419438,-2.250742745,-4.980887946
1534,5.79E-02,1.908701648,1.00595893,-4.839643019,-2.393622537,-5.122864293
1535,5.79E-02,1.917067438,1.005423148,-4.841573704,-2.489727506,-5.217078732
1536,5.78E-02,1.915090222,1.005549632,-4.850820262,-2.466166025,-5.19402358
1537,5.81E-02,1.944166782,1.003722281,-4.81467211,-2.88538628,-5.593418627
1538,5.80E-02,1.941092225,1.00391328,-4.824042583,-2.831782186,-5.543379448
1539,5.80E-02,1.918670616,1.005328307,-4.823208415,-2.509247901,-5.234721813
1540,5.80E-02,1.901417377,1.006442693,-4.8274993,-2.316860268,-5.044808669
1541,5.79E-02,1.898746806,1.006617257,-4.836768037,-2.290131024,-5.018074387
1542,5.79E-02,1.886160904,1.007447911,-4.844336009,-2.172969264,-4.899821627
1543,5.78E-02,1.891624976,1.007086117,-4.848946692,-2.222157623,-4.9496177
1544,5.82E-02,1.922520578,1.00508429,-4.805385274,-2.557742902,-5.281599839
1545,5.81E-02,1.913416815,1.005668696,-4.814363837,-2.446649653,-5.17279625
1546,5.80E-02,1.911011391,1.00582426,-4.823480999,-2.419246911,-5.145723349
1547,5.80E-02,1.908906246,1.005960861,-4.83258117,-2.395866041,-5.122540402
1548,5.82E-02,1.935767562,1.004245729,-4.80097274,-2.745246934,-5.461841641
1549,5.82E-02,1.935514991,1.004261769,-4.809332894,-2.741322494,-5.458070936
1550,5.82E-02,1.952463531,1.003203747,-4.799660593,-3.046258089,-5.743434148
1551,5.82E-02,1.950163862,1.003346523,-4.808720322,-2.999014901,-5.699833466
1552,5.81E-02,1.938799555,1.00405786,-4.816933581,-2.793600819,-5.507099463
1553,5.80E-02,1.933182063,1.004413002,-4.826485545,-2.705783717,-5.423200066
1554,5.79E-02,1.927129921,1.004798392,-4.836074928,-2.619077167,-5.339474425
1555,5.79E-02,1.930560312,1.004579788,-4.842523125,-2.667296699,-5.386102678
1556,5.78E-02,1.917990594,1.005386781,-4.850016675,-2.500921332,-5.223807203
1557,5.78E-02,1.909044848,1.005968426,-4.859149849,-2.397388728,-5.121272047
1558,5.78E-02,1.919688648,1.005277669,-4.857881049,-2.521844303,-5.244270841
1559,5.77E-02,1.919511013,1.005289255,-4.86654432,-2.519634907,-5.242077879
1560,5.77E-02,1.901715981,1.006452876,-4.869166671,-2.319893839,-5.043229387
1561,5.76E-02,1.90123517,1.006484736,-4.877984602,-2.315013706,-5.038304217
1562,5.75E-02,1.895545585,1.006862263,-4.887837255,-2.259004524,-4.981717942
1563,5.75E-02,1.901069998,1.006495896,-4.892444368,-2.313342727,-5.036584636
1564,5.74E-02,1.89232971,1.007077768,-4.901747366,-2.228681594,-4.950796673
1565,5.74E-02,1.883513304,1.007671026,-4.911019553,-2.149978209,-4.870304909
1566,5.73E-02,1.889927505,1.007239145,-4.914600098,-2.206616085,-4.928252131
1567,5.73E-02,1.888904055,1.007308039,-4.923941877,-2.197361082,-4.918780262
1568,5.72E-02,1.889686721,1.007255502,-4.932464091,-2.204430975,-4.925995154
1569,5.71E-02,1.884677117,1.007593694,-4.942716227,-2.160019404,-4.880437062
1570,5.71E-02,1.894928771,1.006904243,-4.941030994,-2.253116789,-4.975619143
1571,5.71E-02,1.887982208,1.007371506,-4.951125695,-2.189097559,-4.910133308
1572,5.71E-02,1.899993609,1.00656663,-4.946469745,-2.302521188,-5.025754536
1573,5.72E-02,1.917712434,1.005398736,-4.93066976,-2.497535261,-5.221590427
1574,5.72E-02,1.928979783,1.004667303,-4.927912832,-2.644790689,-5.367173896
1575,5.72E-02,1.927145054,1.004786068,-4.937750855,-2.619284856,-5.342046008
1576,5.71E-02,1.932388533,1.004447602,-4.942948638,-2.693977684,-5.415390123
1577,5.74E-02,1.958414532,1.002796798,-4.907113162,-3.180004505,-5.879280063
1578,5.74E-02,1.967205244,1.002248779,-4.90849872,-3.417486642,-6.097368065
1579,5.74E-02,1.975709528,1.001723162,-4.910333028,-3.717671091,-6.363594581
1580,5.73E-02,1.980400111,1.001435077,-4.91628305,-3.93223139,-6.54653667
1581,5.74E-02,1.999571109,1.000272314,-4.900328725,-7.754307601,-8.208554409
1582,5.74E-02,1.996664445,1.000447556,-4.910374777,-5.703116082,-7.71170847
1583,5.74E-02,1.974205271,1.001821515,-4.906460054,-3.657585122,-6.308086646
1584,5.73E-02,1.97276341,1.001910859,-4.916096399,-3.603193981,-6.260202349
1585,5.73E-02,1.962912076,1.002525108,-4.925134578,-3.294463868,-5.981471516
1586,5.72E-02,1.96725979,1.002253434,-4.931328254,-3.419151291,-6.095300026
1587,5.72E-02,1.94834458,1.003447526,-4.931524406,-2.963160148,-5.670098279
1588,5.72E-02,1.933274569,1.004416754,-4.936138602,-2.707169125,-5.422350134
1589,5.71E-02,1.935952073,1.004243592,-4.943588816,-2.748123617,-5.462345285
1590,5.71E-02,1.92791316,1.004766033,-4.953270019,-2.629883773,-5.346240999
1591,5.71E-02,1.942788801,1.003803944,-4.943382896,-2.861005607,-5.571716818
1592,5.71E-02,1.931299953,1.004547456,-4.951109484,-2.678005398,-5.393187377
1593,5.70E-02,1.930640715,1.004590476,-4.960645311,-2.668455251,-5.383771464
1594,5.70E-02,1.91889225,1.005361902,-4.968059816,-2.511976763,-5.228436437
1595,5.69E-02,1.926655221,1.00485156,-4.970010618,-2.612583957,-5.328455022
1596,5.73E-02,1.957657519,1.002857178,-4.913250986,-3.161964418,-5.857920948
1597,5.73E-02,1.93939416,1.00402846,-4.913348641,-2.803364014,-5.514371185
1598,5.73E-02,1.930852226,1.004584205,-4.922431419,-2.67150941,-5.385138534
1599,5.77E-02,1.960823584,1.002660451,-4.871932276,-3.239680349,-5.929259512
1600,5.78E-02,1.981984261,1.001336972,-4.850300038,-4.016509519,-6.61734785
1601,5.78E-02,1.963530708,1.002493155,-4.850514331,-3.311284682,-5.994206157
1602,5.78E-02,1.950737309,1.00330812,-4.856552993,-3.01058826,-5.711375174
1603,5.77E-02,1.945102962,1.003670633,-4.865981642,-2.902295879,-5.607391235
1604,5.78E-02,1.962596181,1.002553503,-4.851842467,-3.285982473,-5.97028907
1605,5.77E-02,1.95617086,1.002962397,-4.861123985,-3.127456383,-5.821756557
1606,5.77E-02,1.956001973,1.002973259,-4.869795713,-3.123610487,-5.818096628
1607,5.76E-02,1.942885254,1.003818,-4.875319859,-2.862692947,-5.568028591
1608,5.76E-02,1.92817085,1.004780374,-4.878978947,-2.633464893,-5.343236564
1609,5.75E-02,1.922624557,1.005147103,-4.888435427,-2.559085823,-5.269321204
1610,5.75E-02,1.90471831,1.006347706,-4.887238765,-2.350917615,-5.059661729
1611,5.75E-02,1.911952864,1.005860493,-4.889508392,-2.429882968,-5.139521618
1612,5.75E-02,1.905637254,1.006286374,-4.898776632,-2.360608927,-5.069370794
1613,5.75E-02,1.882496129,1.007874769,-4.886545986,-2.141284004,-4.844091379
1614,5.75E-02,1.871206874,1.008664374,-4.892668057,-2.049547837,-4.748535657
1615,5.74E-02,1.864698929,1.009124244,-4.901650021,-2.000252826,-4.696820262
1616,5.74E-02,1.856775827,1.009689033,-4.910044198,-1.94334423,-4.636760652
1617,5.73E-02,1.852488972,1.009996858,-4.919508812,-1.913852338,-4.605484451
1618,5.73E-02,1.85637769,1.009717712,-4.925167773,-1.940568275,-4.633805091
1619,5.72E-02,1.853904124,1.00989543,-4.934641724,-1.923492187,-4.615682238
