i,sigma_hat,m_hat,alpha_hat,sigmaLogError,mLogError,alphaLogError
2,3.60E-02,2.189093738,0.807666328,-4.271260631,-1.665512418,-1.648523542
3,0.116772816,2.190078757,2.211180919,-2.706459246,-1.660316783,0.19159585
4,0.11434299,2.190674824,2.292848445,-2.743527298,-1.657185795,0.256847881
5,0.101002458,2.190781098,1.953026968,-2.975881461,-1.65662859,-4.81E-02
6,9.04E-02,2.190818637,1.508414981,-3.209663685,-1.656431846,-0.676457273
7,9.45E-02,2.191055117,1.678847903,-3.111836474,-1.655193321,-0.387358178
8,8.74E-02,2.191240678,1.416315759,-3.285141998,-1.65422255,-0.876311271
9,8.26E-02,2.191317829,1.336328445,-3.422581391,-1.653819207,-1.08966708
10,7.82E-02,2.191405794,1.246882053,-3.567240487,-1.653359527,-1.398844575
11,7.42E-02,2.601114044,1.123088596,-3.72313432,-0.508970605,-2.094850892
12,7.16E-02,2.601203151,1.099681252,-3.834010617,-0.508822381,-2.305777661
13,8.29E-02,2.191541857,1.309085745,-3.413254484,-1.652648922,-1.174136549
14,7.97E-02,2.60211287,1.186250211,-3.517794245,-0.50731036,-1.680664291
15,8.35E-02,2.191919085,1.298255512,-3.396077544,-1.650681426,-1.209804737
16,8.40E-02,2.191726014,1.347525872,-3.380586842,-1.651687936,-1.056916165
17,8.27E-02,2.603991242,1.177282081,-3.419911596,-0.504195581,-1.730013136
18,8.04E-02,2.998990428,1.138240123,-3.494307821,-1.01E-03,-1.978763088
19,7.81E-02,2.999477071,1.063869775,-3.573238984,-5.23E-04,-2.75090904
20,7.80E-02,2.999456982,1.098494077,-3.575579696,-5.43E-04,-2.317758863
21,8.04E-02,2.604205249,1.173642355,-3.49354767,-0.503841322,-1.750757527
22,7.84E-02,3.000039481,1.124025795,-3.561893105,3.95E-05,-2.087265714
23,7.73E-02,3.000196852,1.124731819,-3.600753613,1.97E-04,-2.081589298
24,7.82E-02,2.999414357,1.168207185,-3.568982087,-5.86E-04,-1.782558817
25,7.77E-02,2.604423599,1.181746388,-3.586306641,-0.503480005,-1.705143037
26,7.71E-02,2.60437313,1.18954564,-3.608834455,-0.503563506,-1.663125441
27,7.56E-02,3.002489775,1.123994018,-3.663597973,2.49E-03,-2.087521958
28,7.44E-02,3.390231056,1.055185247,-3.71178034,0.32946996,-2.897059632
29,7.32E-02,3.390596362,1.040748191,-3.761731528,0.329732693,-3.200343823
30,7.59E-02,3.003510262,1.103303062,-3.654413794,3.50E-03,-2.270088261
31,7.45E-02,3.391074394,1.066573413,-3.707986975,0.330076394,-2.709449989
32,7.54E-02,3.3898959,1.102215459,-3.672956088,0.329228852,-2.280672354
33,7.42E-02,3.391635403,1.074733622,-3.723046854,0.330479605,-2.593825192
34,7.31E-02,3.392601664,1.056923914,-3.769617534,0.331173698,-2.86603974
35,7.31E-02,3.392005547,1.073948202,-3.769669475,0.330745547,-2.6043904
36,7.21E-02,3.394646763,1.024456127,-3.811152091,0.332641167,-3.710874506
37,7.31E-02,3.393513415,1.058037228,-3.768485872,0.331828195,-2.846670608
38,7.20E-02,3.395195091,1.030574156,-3.815626459,0.333034256,-3.487600208
39,7.32E-02,3.393431431,1.06556271,-3.764895122,0.33176936,-2.724748192
40,7.22E-02,3.395507888,1.041837907,-3.809393734,0.333258427,-3.173952493
41,7.31E-02,3.393177649,1.072974641,-3.76672604,0.331587216,-2.617643277
42,7.24E-02,3.394153649,1.067257125,-3.7981674,0.332287528,-2.699232324
43,7.21E-02,3.393707076,1.072776358,-3.813269284,0.331967158,-2.620364129
44,7.14E-02,3.394851804,1.066970299,-3.84443885,0.332788176,-2.703506054
45,7.15E-02,3.392891555,1.080491726,-3.841150639,0.331381842,-2.519600876
46,7.06E-02,3.39839197,1.048639553,-3.880541489,0.335322983,-3.023318236
47,7.00E-02,3.780238694,1.041828414,-3.912953567,0.576747453,-3.174179411
48,6.96E-02,3.780050737,1.045047115,-3.930241607,0.576641868,-3.100046333
49,6.91E-02,3.780940678,1.040952932,-3.959215007,0.577141695,-3.195331881
50,6.91E-02,3.398591333,1.052178777,-3.956979655,0.335465539,-2.95307943
51,6.84E-02,3.782321154,1.037955848,-3.995713408,0.577916534,-3.271331694
52,6.93E-02,3.396928028,1.062748568,-3.946912862,0.33427556,-2.768619529
53,6.99E-02,3.004503097,1.082853965,-3.915670479,4.49E-03,-2.490675682
54,7.05E-02,2.993364367,1.102172744,-3.88640671,-6.66E-03,-2.281090331
55,7.20E-02,3.68942612,1.132692073,-3.816549313,0.524388897,-2.019724072
56,7.23E-02,4.021442602,1.146937115,-3.802792125,0.703811416,-1.917750575
57,7.41E-02,3.855504537,1.180868048,-3.723538357,0.618156646,-1.709987528
58,7.37E-02,3.85874438,1.177608682,-3.74360453,0.619901195,-1.728172567
59,7.38E-02,4.235762084,1.188262098,-3.737934644,0.804582147,-1.669920148
60,7.38E-02,4.230638545,1.195520317,-3.739267103,0.802287888,-1.632090981
61,7.33E-02,4.23301432,1.190842239,-3.760321705,0.803352386,-1.656308163
62,7.26E-02,3.858803508,1.176283223,-3.789757058,0.619933005,-1.735663354
63,7.86E-02,4.218079893,1.241221079,-3.553732774,0.796641909,-1.422041427
64,7.80E-02,4.218219401,1.232408325,-3.575844612,0.796704803,-1.459259434
65,7.74E-02,4.220277776,1.20217673,-3.597582329,0.797632312,-1.598613064
66,7.69E-02,3.894616255,1.167888777,-3.614190642,0.639016314,-1.784453563
67,7.63E-02,3.811548207,1.155764631,-3.638610676,0.594181843,-1.859409184
68,7.56E-02,3.435409343,1.141271775,-3.663905781,0.361450065,-1.957069761
69,7.50E-02,3.04214887,1.124693788,-3.689491866,4.13E-02,-2.081894239
70,7.45E-02,3.438355871,1.120514209,-3.708562512,0.363500705,-2.115987612
71,7.44E-02,3.042899701,1.126476335,-3.712592178,4.20E-02,-2.067700061
72,7.38E-02,3.43979645,1.115029474,-3.737016516,0.36450175,-2.162566884
73,7.50E-02,3.437944051,1.139150262,-3.68916064,0.363214351,-1.972200907
74,7.46E-02,3.439098207,1.138333656,-3.703448159,0.364016672,-1.978086713
75,7.41E-02,2.214170776,1.131269218,-3.72579223,-1.540981563,-2.030504964
76,7.40E-02,4.219514317,1.094271262,-3.729808116,0.797288396,-2.361578887
77,7.44E-02,3.834873706,1.108303317,-3.713480347,0.606975654,-2.222819496
78,7.39E-02,3.835596611,1.102504495,-3.733289526,0.607369557,-2.277848625
79,7.34E-02,4.221477893,1.091333512,-3.756402582,0.798172692,-2.393237507
80,7.29E-02,4.222108768,1.085022133,-3.776919738,0.798456641,-2.464843663
81,7.26E-02,4.222401708,1.084975329,-3.790125033,0.798588461,-2.465394306
82,7.21E-02,4.22337069,1.074547352,-3.813231915,0.799024373,-2.596320759
83,7.20E-02,4.223325687,1.079492829,-3.816966951,0.799004132,-2.532088459
84,7.16E-02,4.224036376,1.07465447,-3.836313405,0.799323732,-2.594884879
85,7.15E-02,4.223858971,1.079220434,-3.840341259,0.799243962,-2.535521004
86,7.29E-02,3.834902087,1.103334774,-3.777763121,0.606991121,-2.269781333
87,7.25E-02,4.225778205,1.08270199,-3.796313826,0.80010661,-2.492511611
88,7.23E-02,4.225712335,1.084944477,-3.804737742,0.800077015,-2.465757447
89,7.18E-02,4.227487626,1.077527212,-3.825414142,0.800874325,-2.557126287
90,7.17E-02,4.227276576,1.080376401,-3.832391315,0.800779573,-2.521034669
91,7.16E-02,4.226541086,1.084847934,-3.83561738,0.800449299,-2.466894641
92,7.12E-02,4.228568174,1.078805474,-3.855278297,0.801359305,-2.540772816
93,7.08E-02,4.22974608,1.07536251,-3.872368277,0.801887714,-2.585445336
94,7.04E-02,4.231115617,1.070822576,-3.890816148,0.802501737,-2.647577466
95,7.00E-02,4.615490425,1.062911788,-3.912164611,0.961451623,-2.766021731
96,7.00E-02,4.23218367,1.068485033,-3.911476401,0.80298033,-2.681140058
97,7.11E-02,4.225662858,1.087684076,-3.859482114,0.800054785,-2.434014974
98,7.09E-02,4.225352746,1.088964152,-3.868426069,0.799915441,-2.419521776
99,7.06E-02,4.227681427,1.08621586,-3.884065589,0.800961326,-2.45090113
100,7.04E-02,4.226448918,1.088765996,-3.890068651,0.800407903,-2.421751626
101,7.01E-02,4.230031884,1.084436223,-3.907710981,0.802015883,-2.471758788
102,6.97E-02,4.233645503,1.079086243,-3.926542908,0.803635005,-2.537216338
103,6.96E-02,4.232754459,1.081445641,-3.932630926,0.803236007,-2.507819463
104,6.93E-02,4.234662933,1.079071056,-3.947851081,0.804090404,-2.537408389
105,6.89E-02,4.625362697,1.064739189,-3.967799318,0.965219057,-2.737388561
106,6.85E-02,4.627885092,1.05873548,-3.987607372,0.966179375,-2.834711306
107,6.82E-02,4.632684781,1.042391698,-4.004974369,0.968004155,-3.160802733
108,6.78E-02,4.634759573,1.032156173,-4.026532476,0.968791934,-3.437150836
109,6.75E-02,4.636536378,1.020989288,-4.047916724,0.969466078,-3.863743046
110,6.71E-02,4.637400787,1.014980355,-4.068401008,0.969793882,-4.201015609
111,6.73E-02,4.636699197,1.022129526,-4.059013807,0.969527831,-3.810842565
112,6.73E-02,4.635879107,1.027893731,-4.054385927,0.969216753,-3.579353308
113,6.86E-02,4.630771275,1.046956686,-3.985343753,0.967277064,-3.058529668
114,6.89E-02,4.626682958,1.055460663,-3.971154621,0.965721817,-2.892081293
115,6.85E-02,4.630281402,1.050202473,-3.989546967,0.967090837,-2.991690989
116,6.83E-02,4.630601818,1.050234916,-4.000192316,0.967212648,-2.991044957
117,6.87E-02,4.623659696,1.060240731,-3.978669373,0.964570174,-2.809406554
118,6.85E-02,4.623862499,1.060496746,-3.988540137,0.964647469,-2.805165697
119,6.82E-02,4.629447966,1.055005234,-4.007027559,0.966773925,-2.900326928
120,6.78E-02,4.636926843,1.045128365,-4.026920163,0.969614164,-3.098244289
121,6.78E-02,4.635615707,1.047778779,-4.030801213,0.969116819,-3.041173682
122,6.75E-02,4.637530336,1.045455603,-4.045703422,0.969843,-3.091019178
123,6.77E-02,4.632065067,1.053031442,-4.031933656,0.967768735,-2.936870288
124,6.76E-02,4.631284039,1.05424404,-4.039280099,0.967471955,-2.914262149
125,6.73E-02,4.636574965,1.049275504,-4.057479596,0.969480713,-3.010328191
126,6.70E-02,4.64219594,1.042753349,-4.076971082,0.971610367,-3.152307737
127,6.68E-02,4.642751719,1.042456348,-4.087976928,0.971820692,-3.159278844
128,6.72E-02,4.634343359,1.052234706,-4.0618691,0.968633951,-2.952008137
129,6.81E-02,4.229604874,1.066531317,-4.011530979,0.801824383,-2.710082513
130,6.81E-02,4.223628253,1.069190937,-4.014282934,0.79914021,-2.670885387
131,6.79E-02,4.223156157,1.0696277,-4.022854469,0.798927878,-2.664592801
132,6.96E-02,4.319150612,1.089800023,-3.934763168,0.841201003,-2.410170045
133,6.93E-02,4.380754243,1.088698896,-3.946033857,0.867417346,-2.422507833
134,6.91E-02,4.089030079,1.08729643,-3.95787825,0.736699881,-2.438445705
135,6.93E-02,4.219348444,1.093056186,-3.950034178,0.797213659,-2.374551814
136,6.90E-02,4.272399112,1.090920193,-3.963021282,0.820836151,-2.397773152
137,6.87E-02,3.828357616,1.078747097,-3.97842708,0.603418086,-2.54151387
138,6.86E-02,3.441016062,1.079500347,-3.985810088,0.365348463,-2.531993896
139,6.85E-02,2.640850613,1.082271393,-3.98908218,-0.444958902,-2.497731825
140,6.82E-02,3.838254009,1.07755728,-4.004944722,0.608816213,-2.556738523
141,6.88E-02,4.431394403,1.088182364,-3.973272557,0.888464921,-2.428348293
142,6.85E-02,3.843532152,1.077742409,-3.989640884,0.611683379,-2.554354368
143,6.84E-02,4.662959374,1.061226554,-3.995129066,0.979438051,-2.793174288
144,6.81E-02,4.669870664,1.056909148,-4.011001447,0.982030031,-2.866299176
145,6.80E-02,4.667639558,1.058889991,-4.01490722,0.981194021,-2.832084127
146,6.82E-02,4.658854026,1.064083296,-4.007816095,0.977895213,-2.747571539
147,6.79E-02,4.676598222,1.053986817,-4.023802655,0.984546668,-2.9190154
148,6.76E-02,5.071440419,1.047811802,-4.040925194,1.122146644,-3.04048276
149,6.75E-02,5.070972372,1.048660165,-4.047813734,1.121994245,-3.022894554
150,6.73E-02,5.083155894,1.035646348,-4.059057984,1.125953713,-3.334108573
151,6.74E-02,5.080037208,1.040529284,-4.052616168,1.124941677,-3.2057305
152,6.72E-02,5.080985543,1.039862431,-4.063102132,1.125249527,-3.222320989
153,6.71E-02,5.09172442,1.024718411,-4.068097758,1.128729,-3.700206921
154,6.74E-02,5.088462527,1.031447102,-4.053558592,1.127673403,-3.459448436
155,6.71E-02,5.090575789,1.028655937,-4.067730226,1.128357413,-3.552394642
156,6.69E-02,5.091577757,1.027544106,-4.07914503,1.128681562,-3.591966692
157,6.69E-02,5.090662648,1.029382449,-4.08304522,1.128385517,-3.527357768
158,6.66E-02,5.095242239,1.02304157,-4.100028057,1.129866171,-3.770455322
159,6.63E-02,5.100034866,1.014616575,-4.116345182,1.131413358,-4.225599141
160,6.64E-02,5.098138562,1.019016712,-4.110723984,1.130801467,-3.962437118
161,6.64E-02,5.096426133,1.022262969,-4.109539213,1.130248586,-3.804830548
162,6.62E-02,5.102498606,1.012901465,-4.124657167,1.132207789,-4.350414416
163,6.62E-02,5.100604607,1.01684753,-4.120579266,1.131597127,-4.083551191
164,6.60E-02,5.105265766,1.009223803,-4.137073844,1.133099305,-4.685967816
165,6.62E-02,5.102189656,1.015275782,-4.123149381,1.132108203,-4.181486566
166,6.65E-02,5.097285092,1.022155152,-4.104996909,1.130525951,-3.809685229
167,6.63E-02,5.105253756,1.01275993,-4.119348433,1.133095437,-4.3614455
168,6.63E-02,5.102664858,1.01676529,-4.114693614,1.132261374,-4.088444596
169,6.61E-02,5.105115651,1.014073623,-4.128783366,1.133050961,-4.263452931
170,6.59E-02,5.107732586,1.010974441,-4.143521198,1.133893388,-4.512186234
171,6.60E-02,5.103761284,1.016302704,-4.132240482,1.132614693,-4.116424312
172,6.59E-02,5.104008522,1.016372114,-4.140735201,1.132694348,-4.112175757
173,6.61E-02,5.09813464,1.02195102,-4.127853795,1.130800201,-3.818941651
174,6.59E-02,5.100715927,1.020248432,-4.140260572,1.131633029,-3.899677935
175,6.58E-02,5.101048123,1.020272057,-4.14875905,1.131740159,-3.898511841
176,6.58E-02,5.097945676,1.022725091,-4.149281892,1.130739207,-3.784285627
177,6.57E-02,5.096904836,1.023624174,-4.155134389,1.130403173,-3.745484767
178,6.54E-02,5.105116092,1.018574676,-4.171496402,1.133051104,-3.985956137
179,6.53E-02,5.106329475,1.017962046,-4.18165666,1.133441796,-4.019494298
180,6.58E-02,5.091926812,1.02668048,-4.147554659,1.12879446,-3.623823063
181,6.56E-02,5.09464014,1.025658963,-4.158462827,1.129671628,-3.662862338
182,6.56E-02,5.089423793,1.028105977,-4.158491568,1.127984599,-3.571773024
183,6.58E-02,5.07732414,1.032439333,-4.150017037,1.124060434,-3.428383625
184,6.56E-02,5.077516674,1.032561781,-4.15786041,1.124122997,-3.424616035
185,6.54E-02,5.104154726,1.023296426,-4.170619768,1.132741448,-3.759455304
186,6.54E-02,5.101464368,1.024729021,-4.174278563,1.131874377,-3.699777784
187,6.54E-02,5.097134408,1.026662105,-4.175989626,1.1304773,-3.624512024
188,6.56E-02,5.081136456,1.031878959,-4.162123759,1.125298508,-3.445809071
189,6.53E-02,5.096410769,1.027624934,-4.177751598,1.130243624,-3.589036517
190,6.57E-02,5.07163756,1.034399708,-4.154310301,1.122210827,-3.369707216
191,6.55E-02,5.105163172,1.025671503,-4.167259172,1.133066265,-3.662373741
192,6.55E-02,5.10058877,1.02741501,-4.169493948,1.131592019,-3.596664622
193,6.54E-02,5.096060425,1.028940988,-4.172465715,1.130130473,-3.542496403
194,6.54E-02,5.088675519,1.03100776,-4.173253444,1.127742364,-3.473517776
195,6.52E-02,5.102299949,1.027663117,-4.188002568,1.132143755,-3.587655252
196,6.50E-02,5.110444712,1.025367095,-4.20139511,1.13476571,-3.674302421
197,6.48E-02,5.118621237,1.022744909,-4.215411413,1.137390993,-3.783413941
198,6.47E-02,5.116132017,1.023812638,-4.219846544,1.136592494,-3.73753881
199,6.48E-02,5.107187542,1.026714709,-4.216390103,1.13371799,-3.622540951
200,6.50E-02,5.086972647,1.031492634,-4.202821724,1.127190885,-3.458001598
201,6.48E-02,5.097950972,1.029452976,-4.215778925,1.130740916,-3.524960311
202,6.45E-02,5.126155358,1.022157526,-4.230271029,1.139803929,-3.80957806
203,6.43E-02,5.535718463,1.015884708,-4.245807767,1.262916521,-4.142398379
204,6.41E-02,5.547237083,1.010706038,-4.261870315,1.266169014,-4.536947432
205,6.40E-02,5.548930326,1.010016866,-4.272066057,1.266646241,-4.603485035
206,6.37E-02,5.559516881,1.003967373,-4.287865291,1.269624828,-5.529651082
207,6.41E-02,5.548397515,1.010790936,-4.258477526,1.266496097,-4.529048771
208,6.41E-02,5.544064176,1.012934479,-4.258078194,1.265274141,-4.347858738
209,6.39E-02,5.555122128,1.008138971,-4.274024762,1.268389416,-4.81109151
210,6.48E-02,5.528850459,1.018652701,-4.212527116,1.260972169,-3.981764307
211,6.46E-02,5.538197117,1.016058824,-4.226256514,1.263617308,-4.13149682
212,6.44E-02,5.544921801,1.014010356,-4.239188897,1.265516101,-4.267958514
213,6.44E-02,5.537952442,1.016421763,-4.237375995,1.263548154,-4.109147793
214,6.53E-02,5.101682005,1.026735817,-4.178646746,1.131944547,-3.621751166
215,6.51E-02,5.126033172,1.022417134,-4.193479649,1.139764844,-3.797929692
216,6.49E-02,5.136486893,1.020154351,-4.206426672,1.14310335,-3.904335079
217,6.47E-02,5.549258473,1.015122826,-4.221448811,1.266738701,-4.191550034
218,6.45E-02,5.565827831,1.00974654,-4.236401063,1.271396238,-4.630842937
219,6.43E-02,5.582592982,1.002266677,-4.248731623,1.276086835,-6.08944025
220,6.41E-02,5.589029866,0.998639824,-4.263611061,1.277881934,-6.600140927
221,6.40E-02,5.589653077,0.998465996,-4.272021348,1.278055562,-6.479873867
222,6.39E-02,5.588987011,0.999091345,-4.27767315,1.277869993,-7.00354477
223,6.38E-02,5.589724664,0.998876527,-4.286221473,1.278075504,-6.791330229
224,6.36E-02,5.60163159,0.991461299,-4.298357778,1.281386962,-4.763146429
225,6.36E-02,5.599967508,0.992932359,-4.300498683,1.28092482,-4.952228487
226,6.34E-02,5.603178851,0.990885585,-4.313777334,1.28181647,-4.697898074
227,6.38E-02,5.59303834,0.997557425,-4.282025219,1.278998179,-6.014702608
228,6.37E-02,5.595616761,0.996409606,-4.293171326,1.279715537,-5.629493455
229,6.36E-02,5.594654275,0.997095649,-4.298437282,1.279447818,-5.841545489
230,6.35E-02,5.594713108,0.997254184,-4.305663355,1.279464185,-5.897676989
231,6.33E-02,5.603843622,0.992821388,-4.321030418,1.282000949,-4.936649222
232,6.35E-02,5.596278783,0.996892259,-4.307934457,1.279899639,-5.773859189
233,6.33E-02,5.602412426,0.994218948,-4.322174625,1.281603739,-5.153169618
234,6.31E-02,5.610936033,0.989906042,-4.337588032,1.283967028,-4.595818245
235,6.29E-02,5.61412395,0.988209793,-4.350348933,1.284849489,-4.440485968
236,6.27E-02,5.618527093,0.985648185,-4.364775057,1.286067063,-4.243878856
237,6.26E-02,5.618872972,0.985629328,-4.372787943,1.286162644,-4.242565827
238,6.24E-02,5.622705429,0.983346292,-4.386968111,1.287221103,-4.095122381
239,6.23E-02,6.031725839,0.977999193,-4.402149234,1.394194532,-3.816676127
240,6.21E-02,6.032889112,0.977358243,-4.412494479,1.39448302,-3.787959421
241,6.19E-02,6.037441938,0.974155467,-4.42817688,1.395611308,-3.65565618
242,6.19E-02,6.035903316,0.975548187,-4.42991293,1.395230147,-3.711050921
243,6.18E-02,6.036439985,0.975371716,-4.438732802,1.395363112,-3.703859747
244,6.19E-02,6.032572955,0.978093987,-4.432338077,1.394404623,-3.82099413
245,6.24E-02,5.619061151,0.985235703,-4.387776786,1.286214642,-4.215543388
246,6.37E-02,5.586904195,0.996757834,-4.293519129,1.277289489,-5.73151363
247,6.41E-02,5.555923091,1.003165796,-4.261298934,1.268614689,-5.755350634
248,6.39E-02,5.576078574,0.999733699,-4.275479715,1.27426683,-8.230884792
249,6.38E-02,5.58173959,0.998709413,-4.285973775,1.275848601,-6.652658174
250,6.36E-02,5.591281454,0.996774607,-4.298566239,1.27850909,-5.736700329
251,6.37E-02,5.578630962,0.999518729,-4.292847446,1.274980314,-7.639080516
252,6.36E-02,5.57178564,1.000835145,-4.294722645,1.27306565,-7.087905292
253,6.40E-02,5.528268861,1.006712472,-4.265903599,1.260807343,-5.00378798
254,6.42E-02,5.107716371,1.010002833,-4.256833863,1.133888171,-4.604886908
255,6.47E-02,5.00130995,1.016515007,-4.223235339,1.099048843,-4.103485782
256,6.46E-02,4.604737393,1.017915179,-4.224626703,0.957331861,-4.022106934
257,6.47E-02,5.529420185,1.007976022,-4.223018533,1.261133604,-4.83131554
258,6.45E-02,5.553484465,1.005682373,-4.235556443,1.267928662,-5.170386403
259,6.43E-02,5.561060793,1.004927065,-4.244957683,1.270058476,-5.313011711
260,6.43E-02,5.555171027,1.005666031,-4.2492292,1.268403171,-5.173266423
261,6.41E-02,5.565079446,1.004681779,-4.259302766,1.271186339,-5.364077149
262,6.40E-02,5.580690566,1.002914711,-4.271214475,1.275555677,-5.837984694
263,6.40E-02,5.565928876,1.004745882,-4.270225067,1.271424574,-5.350478066
264,6.38E-02,5.602177086,1.000288114,-4.283997725,1.281538409,-8.152152788
265,6.37E-02,5.600430372,1.000650086,-4.289748722,1.281053386,-7.33840517
266,6.38E-02,5.576869919,1.003738593,-4.281054078,1.274488094,-5.589045832
267,6.38E-02,5.63457764,0.995461653,-4.285132386,1.290492912,-5.395192464
268,6.37E-02,5.631239263,0.996237826,-4.28915093,1.289573985,-5.582758341
269,6.37E-02,5.621175925,0.998120199,-4.287686612,1.286798814,-6.276589477
270,6.41E-02,5.583519767,1.003196001,-4.26399016,1.276345493,-5.745854904
271,6.40E-02,5.585569486,1.003070998,-4.271407619,1.276917314,-5.785752703
272,6.38E-02,5.612853556,0.99999436,-4.28495437,1.284497919,-12.0856646
273,6.36E-02,5.625661746,0.998307615,-4.296776476,1.288036822,-6.381616628
274,6.35E-02,5.629337069,0.997863022,-4.305383143,1.289050006,-6.14836268
275,6.35E-02,5.618484466,0.999483783,-4.304991303,1.286055282,-7.5689827
276,6.33E-02,5.639645818,0.996584605,-4.318653729,1.291886374,-5.679461985
277,6.33E-02,5.63077268,0.998014495,-4.319174222,1.289445485,-6.22188197
278,6.33E-02,5.621173378,0.999367243,-4.320046472,1.286798111,-7.365423533
279,6.37E-02,5.568973121,1.00448154,-4.293757499,1.272277913,-5.407788569
280,6.36E-02,5.559980834,1.005191284,-4.297716218,1.269755161,-5.260774121
281,6.39E-02,5.100417535,1.009399097,-4.279400028,1.131536791,-4.667141705
282,6.42E-02,4.588072742,1.014518454,-4.253646124,0.950913484,-4.232334776
283,6.47E-02,4.314586831,1.020480659,-4.220799824,0.839231197,-3.888274313
284,6.46E-02,4.262922087,1.020655951,-4.226766183,0.816656937,-3.879751832
285,6.57E-02,5.825840646,1.030110821,-4.15675236,1.34177822,-3.50287068
286,6.55E-02,1.929115341,1.034291378,-4.167640438,-2.646701244,-3.372861319
287,6.53E-02,2.580210943,1.027455972,-4.179074051,-0.544363546,-3.595171563
288,6.52E-02,2.603841073,1.027331556,-4.18574207,-0.50444424,-3.599713329
289,6.57E-02,6.08343146,1.032477644,-4.152700551,1.406937679,-3.427203309
290,6.56E-02,6.065026375,1.032620474,-4.158538465,1.402420231,-3.422815136
291,6.55E-02,2.489643879,1.02832094,-4.16892495,-0.714076929,-3.564153804
292,6.53E-02,3.006302434,1.025718099,-4.179630773,6.28E-03,-3.660560303
293,6.55E-02,1.712147318,1.039571605,-4.167618894,-1.245306449,-3.22964346
294,6.53E-02,2.4642503,1.028571585,-4.178610863,-0.767331433,-3.555342595
295,6.64E-02,6.274715835,1.03642009,-4.111295926,1.452717629,-3.312634735
296,6.65E-02,6.195921695,1.039259202,-4.104275017,1.434113028,-3.237569417
297,6.63E-02,6.254240595,1.036916287,-4.1156357,1.447916272,-3.299102453
298,6.65E-02,3.091737744,1.026320338,-4.101468318,8.78E-02,-3.637413344
299,6.65E-02,2.831428527,1.027326319,-4.105041941,-0.184609941,-3.599904987
300,6.64E-02,5.216231653,1.020222267,-4.112180541,1.16821038,-3.900970952
301,6.66E-02,3.868382444,1.024290259,-4.097742759,0.625073053,-3.717679858
302,6.66E-02,3.536170064,1.025116191,-4.101105113,0.429292347,-3.684242578
303,6.66E-02,2.728561127,1.027826407,-4.098594402,-0.316683749,-3.581769821
304,6.66E-02,2.338978085,1.03016361,-4.100974002,-1.08181982,-3.501119054
305,6.64E-02,2.542377771,1.028817345,-4.108556461,-0.611792526,-3.546777801
306,6.65E-02,3.937349224,1.01896398,-4.106451028,0.661320659,-3.965213907
307,6.63E-02,4.792056128,1.016542307,-4.11756141,1.026778288,-4.101834115
308,6.62E-02,5.729400508,1.010503411,-4.125418286,1.316247499,-4.556055227
309,6.61E-02,5.730987013,1.01048787,-4.131631343,1.316672813,-4.557535884
310,6.59E-02,5.735188632,1.010277419,-4.138470709,1.317798321,-4.577806088
311,6.58E-02,5.777661259,1.006425054,-4.149905475,1.329105104,-5.047550184
312,6.57E-02,6.246941376,0.999381735,-4.153958389,1.446199048,-7.388593174
313,6.56E-02,6.249514926,0.998987974,-4.161408996,1.446804841,-6.895801386
314,6.55E-02,6.248361078,0.999407549,-4.166128972,1.44653328,-7.431243216
315,6.56E-02,5.81143548,1.001923053,-4.160510639,1.338005885,-6.253841249
316,6.55E-02,6.266794476,0.995907042,-4.167776441,1.450862837,-5.498487388
317,6.53E-02,6.278832706,0.99259523,-4.179328429,1.45368024,-4.905630873
318,6.51E-02,6.290152007,0.988652398,-4.190564274,1.456322165,-4.478748835
319,6.50E-02,6.297259482,0.98565841,-4.202187862,1.45797749,-4.244591569
320,6.48E-02,6.303987937,0.982305712,-4.213820443,1.45954202,-4.034513415
321,6.46E-02,6.31054371,0.978369181,-4.225094195,1.461064047,-3.833636155
322,6.48E-02,6.305406052,0.982084284,-4.210628595,1.459871455,-4.022076971
323,6.48E-02,6.304528419,0.982809446,-4.214100421,1.459667589,-4.06339524
324,6.47E-02,6.315504519,0.976893865,-4.220943484,1.46221424,-3.767657099
325,6.45E-02,6.321440922,0.972761631,-4.231832347,1.463588893,-3.603128657
326,6.45E-02,6.320763184,0.973640462,-4.234636789,1.46343205,-3.63592508
327,6.53E-02,6.309338968,0.981191079,-4.182259704,1.460784521,-3.973423975
328,6.52E-02,6.307076974,0.982403252,-4.183516501,1.460259478,-4.040041151
329,6.51E-02,6.308225056,0.982151969,-4.190530074,1.460525999,-4.025862091
330,6.53E-02,6.301105567,0.984924969,-4.182810154,1.458872098,-4.194715469
331,6.52E-02,6.299475043,0.985601685,-4.186380016,1.458492932,-4.2406441
332,6.52E-02,6.29514964,0.986957597,-4.186775437,1.457486395,-4.339549463
333,6.50E-02,6.304342986,0.984662463,-4.197861609,1.45962451,-4.177452086
334,6.49E-02,6.313095688,0.982157978,-4.209142631,1.461655903,-4.02619879
335,6.47E-02,6.320018069,0.979937715,-4.220278462,1.463259585,-3.908913618
336,6.45E-02,6.329300971,0.976429185,-4.231560361,1.46540609,-3.747746001
337,6.49E-02,6.317468295,0.981267406,-4.206243021,1.462669188,-3.977490256
338,6.48E-02,6.319627163,0.980761168,-4.214063213,1.463169094,-3.950824539
339,6.47E-02,6.323320721,0.97975663,-4.223240704,1.464023792,-3.89992796
340,6.46E-02,6.320463469,0.980821612,-4.224866071,1.463362681,-3.953971273
