 sigma_hat,alpha_hat,m_hat,sigma_hatError,alpha_hatError,m_hatError                                  
   8.9417140169664160E-003 ,  0.67107245871531729      ,  0.65711473197112802      ,   8.9417140169664160E-003 ,  0.67107245871531729      ,  -32542.342885268030     
   1.1855703659196512E-002 ,  0.70322002674820849      ,  0.59415292866932967      ,   1.1855703659196512E-002 ,  0.70322002674820849      ,  -32542.405847071332     
   9.6005163299099743E-003 ,  0.72120167444953220      ,  0.56318554901757467      ,   9.6005163299099743E-003 ,  0.72120167444953220      ,  -32542.436814450983     
   9.0020851352986576E-003 ,  0.68629573983333403      ,  0.62752712090643659      ,   9.0020851352986576E-003 ,  0.68629573983333403      ,  -32542.372472879095     
   8.5830298383666008E-003 ,  0.72919906641867138      ,  0.56061033299796992      ,   8.5830298383666008E-003 ,  0.72919906641867138      ,  -32542.439389667001     
   1.0620225609694318E-002 ,  0.70739400418235721      ,  0.58689318097630050      ,   1.0620225609694318E-002 ,  0.70739400418235721      ,  -32542.413106819025     
   1.0155853769396131E-002 ,  0.76010659188439600      ,  0.53375757947842695      ,   1.0155853769396131E-002 ,  0.76010659188439600      ,  -32542.466242420520     
   1.1798747478695660E-002 ,  0.72467934348461172      ,  0.57061738477612123      ,   1.1798747478695660E-002 ,  0.72467934348461172      ,  -32542.429382615224     
   8.8768824324822072E-003 ,  0.68885962294834779      ,  0.60966458812760060      ,   8.8768824324822072E-003 ,  0.68885962294834779      ,  -32542.390335411874     
   9.3834273957035547E-003 ,  0.69009488682696207      ,  0.61302985090582440      ,   9.3834273957035547E-003 ,  0.69009488682696207      ,  -32542.386970149095     
   7.9970346058710982E-003 ,  0.71132021951118907      ,  0.60239888866593294      ,   7.9970346058710982E-003 ,  0.71132021951118907      ,  -32542.397601111334     
   9.5012145714523447E-003 ,  0.68335993345986634      ,  0.62531269650674071      ,   9.5012145714523447E-003 ,  0.68335993345986634      ,  -32542.374687303494     
   7.9691804603610750E-003 ,  0.66999123674062688      ,  0.64747417279301345      ,   7.9691804603610750E-003 ,  0.66999123674062688      ,  -32542.352525827206     
   8.0848214199262958E-003 ,  0.68847714388736192      ,  0.62262559549400220      ,   8.0848214199262958E-003 ,  0.68847714388736192      ,  -32542.377374404507     
   9.7894590145911758E-003 ,  0.66884491193948992      ,  0.64523491255641807      ,   9.7894590145911758E-003 ,  0.66884491193948992      ,  -32542.354765087443     
   8.8404902117967619E-003 ,  0.72215532989485420      ,  0.57077469120589486      ,   8.8404902117967619E-003 ,  0.72215532989485420      ,  -32542.429225308795     
   8.7929624523440005E-003 ,  0.68893025748083048      ,  0.62071388555015305      ,   8.7929624523440005E-003 ,  0.68893025748083048      ,  -32542.379286114450     
   9.4184193847496895E-003 ,  0.69272913254650104      ,  0.59008209740467144      ,   9.4184193847496895E-003 ,  0.69272913254650104      ,  -32542.409917902594     
   1.0756004264940729E-002 ,  0.70447577776889359      ,  0.58398790714268412      ,   1.0756004264940729E-002 ,  0.70447577776889359      ,  -32542.416012092857     
   1.0594557186761564E-002 ,  0.69672768752653602      ,  0.61378649707888466      ,   1.0594557186761564E-002 ,  0.69672768752653602      ,  -32542.386213502919     
   9.3626484385255417E-003 ,  0.71121449734883480      ,  0.58493231533678391      ,   9.3626484385255417E-003 ,  0.71121449734883480      ,  -32542.415067684662     
   9.7094411571785402E-003 ,  0.66554904207857135      ,  0.65803006955004828      ,   9.7094411571785402E-003 ,  0.66554904207857135      ,  -32542.341969930450     
   8.9734847312873244E-003 ,  0.69653574273914121      ,  0.62677094190802662      ,   8.9734847312873244E-003 ,  0.69653574273914121      ,  -32542.373229058092     
   8.8784774051640005E-003 ,  0.69480449269806277      ,  0.63277247690524330      ,   8.8784774051640005E-003 ,  0.69480449269806277      ,  -32542.367227523097     
   9.2475286738153435E-003 ,  0.68915890695923177      ,  0.60468702962433241      ,   9.2475286738153435E-003 ,  0.68915890695923177      ,  -32542.395312970377     
   1.0623318642922609E-002 ,  0.70102677818493275      ,  0.58783157321204227      ,   1.0623318642922609E-002 ,  0.70102677818493275      ,  -32542.412168426788     
   9.2404718825069999E-003 ,  0.72221747007681236      ,  0.57370196979902344      ,   9.2404718825069999E-003 ,  0.72221747007681236      ,  -32542.426298030201     
   8.0402006002811104E-003 ,  0.67827882849585441      ,  0.63866282962600163      ,   8.0402006002811104E-003 ,  0.67827882849585441      ,  -32542.361337170372     
   8.9441899754465551E-003 ,  0.70841564461010598      ,  0.60113294708322285      ,   8.9441899754465551E-003 ,  0.70841564461010598      ,  -32542.398867052918     
   9.3023242494787006E-003 ,  0.71460913090097133      ,  0.60105309711127708      ,   9.3023242494787006E-003 ,  0.71460913090097133      ,  -32542.398946902889     
   9.0900660295878885E-003 ,  0.70504900916271385      ,  0.61156657563832695      ,   9.0900660295878885E-003 ,  0.70504900916271385      ,  -32542.388433424363     
   9.7061243518291439E-003 ,  0.69737239713832522      ,  0.60246767761712106      ,   9.7061243518291439E-003 ,  0.69737239713832522      ,  -32542.397532322382     
   9.6313772062347133E-003 ,  0.69655887065476385      ,  0.59616789709990192      ,   9.6313772062347133E-003 ,  0.69655887065476385      ,  -32542.403832102900     
   8.7061135711074666E-003 ,  0.65817953761910819      ,  0.67145299523626323      ,   8.7061135711074666E-003 ,  0.65817953761910819      ,  -32542.328547004763     
   9.3708721112978309E-003 ,  0.67751510126404912      ,  0.62438628439552324      ,   9.3708721112978309E-003 ,  0.67751510126404912      ,  -32542.375613715605     
   9.1882922851691962E-003 ,  0.71664087536844723      ,  0.57778113509520168      ,   9.1882922851691962E-003 ,  0.71664087536844723      ,  -32542.422218864904     
   8.1402388807225862E-003 ,  0.68391140683039253      ,  0.61447838845391178      ,   8.1402388807225862E-003 ,  0.68391140683039253      ,  -32542.385521611544     
   9.5303169595181269E-003 ,  0.72594653427524347      ,  0.57077573910696733      ,   9.5303169595181269E-003 ,  0.72594653427524347      ,  -32542.429224260894     
   8.2909865258002820E-003 ,  0.72819481593652502      ,  0.56068888976292497      ,   8.2909865258002820E-003 ,  0.72819481593652502      ,  -32542.439311110236     
   8.4754004783457078E-003 ,  0.67975338461672374      ,  0.60846563455206515      ,   8.4754004783457078E-003 ,  0.67975338461672374      ,  -32542.391534365448     
