 sigma_hat,alpha_hat,m_hat,sigma_hatError,alpha_hatError,m_hatError                                  
   1.0482911580568730E-002 ,  0.88407034775534532      ,   1.0275304361446564      ,   1.0482911580568730E-002 ,  0.88407034775534532      ,  -32545.972469563854     
   9.1227264607540142E-003 ,  0.90518058093497233      ,   1.0021419947212868      ,   9.1227264607540142E-003 ,  0.90518058093497233      ,  -32545.997858005278     
   9.2161467203790218E-003 ,  0.91580937699370635      ,   1.0015968156076585      ,   9.2161467203790218E-003 ,  0.91580937699370635      ,  -32545.998403184392     
   1.0452079292679115E-002 ,  0.88836992114271640      ,   1.0334105417614827      ,   1.0452079292679115E-002 ,  0.88836992114271640      ,  -32545.966589458239     
   1.0032072839421561E-002 ,  0.91000188559802331      ,  0.96340808013884893      ,   1.0032072839421561E-002 ,  0.91000188559802331      ,  -32546.036591919859     
   1.0513851415741472E-002 ,  0.92264774301159824      ,  0.95340076659822071      ,   1.0513851415741472E-002 ,  0.92264774301159824      ,  -32546.046599233403     
   1.1212027377308474E-002 ,  0.90526292646466244      ,  0.96914481499940153      ,   1.1212027377308474E-002 ,  0.90526292646466244      ,  -32546.030855184999     
   8.2130826117819775E-003 ,  0.89276505055363675      ,   1.0067953456151388      ,   8.2130826117819775E-003 ,  0.89276505055363675      ,  -32545.993204654384     
   9.9716162693031084E-003 ,  0.91404276779202998      ,  0.98281458671806299      ,   9.9716162693031084E-003 ,  0.91404276779202998      ,  -32546.017185413282     
   9.0401575766333071E-003 ,  0.87469484776993023      ,   1.0640555774039118      ,   9.0401575766333071E-003 ,  0.87469484776993023      ,  -32545.935944422596     
   9.3381303366030233E-003 ,  0.88655153291364897      ,   1.0071927221834223      ,   9.3381303366030233E-003 ,  0.88655153291364897      ,  -32545.992807277817     
   9.1752293839784636E-003 ,  0.89603754867261287      ,  0.99832658128410057      ,   9.1752293839784636E-003 ,  0.89603754867261287      ,  -32546.001673418716     
   1.0036601743600796E-002 ,  0.91211511434859083      ,  0.95207948061975900      ,   1.0036601743600796E-002 ,  0.91211511434859083      ,  -32546.047920519381     
   8.9630317493059591E-003 ,  0.88864863028284802      ,   1.0483843573728497      ,   8.9630317493059591E-003 ,  0.88864863028284802      ,  -32545.951615642629     
   1.0288945679960733E-002 ,  0.88115784170433642      ,   1.0112829205751810      ,   1.0288945679960733E-002 ,  0.88115784170433642      ,  -32545.988717079425     
   9.7447054918108882E-003 ,  0.88324062796414504      ,   1.0264808252816999      ,   9.7447054918108882E-003 ,  0.88324062796414504      ,  -32545.973519174717     
   1.0107111019634820E-002 ,  0.91471505834484024      ,  0.94419965899032277      ,   1.0107111019634820E-002 ,  0.91471505834484024      ,  -32546.055800341011     
   9.6495820287245179E-003 ,  0.90795716953029415      ,  0.99475849612309897      ,   9.6495820287245179E-003 ,  0.90795716953029415      ,  -32546.005241503877     
   1.0323109174882460E-002 ,  0.92685880923270303      ,  0.94428668275548044      ,   1.0323109174882460E-002 ,  0.92685880923270303      ,  -32546.055713317244     
   8.9998464120452128E-003 ,  0.91999572875347779      ,  0.93037546501075441      ,   8.9998464120452128E-003 ,  0.91999572875347779      ,  -32546.069624534990     
   9.8864826936444078E-003 ,  0.90329660433257186      ,   1.0040223487052804      ,   9.8864826936444078E-003 ,  0.90329660433257186      ,  -32545.995977651295     
   1.0613642485891353E-002 ,  0.89354453233485642      ,   1.0217597994416474      ,   1.0613642485891353E-002 ,  0.89354453233485642      ,  -32545.978240200559     
   9.6388267203783556E-003 ,  0.89719987998085959      ,   1.0418699338100790      ,   9.6388267203783556E-003 ,  0.89719987998085959      ,  -32545.958130066188     
   9.2201290189389846E-003 ,  0.90587380606129375      ,   1.0004624356239611      ,   9.2201290189389846E-003 ,  0.90587380606129375      ,  -32545.999537564378     
   1.0451582883541071E-002 ,  0.90206519550657716      ,  0.99218370414583390      ,   1.0451582883541071E-002 ,  0.90206519550657716      ,  -32546.007816295853     
   9.7109321060444530E-003 ,  0.87364054567572025      ,   1.0148976397139009      ,   9.7109321060444530E-003 ,  0.87364054567572025      ,  -32545.985102360286     
   9.1155531825984452E-003 ,  0.89607903363891250      ,  0.99193201069751724      ,   9.1155531825984452E-003 ,  0.89607903363891250      ,  -32546.008067989304     
   9.1760918953094888E-003 ,  0.88214179967020034      ,   1.0379799289430769      ,   9.1760918953094888E-003 ,  0.88214179967020034      ,  -32545.962020071056     
   9.1841200844229743E-003 ,  0.89145198632545919      ,   1.0148916903821650      ,   9.1841200844229743E-003 ,  0.89145198632545919      ,  -32545.985108309618     
   1.0662850994078314E-002 ,  0.90278215114797700      ,  0.98225001902039166      ,   1.0662850994078314E-002 ,  0.90278215114797700      ,  -32546.017749980980     
   9.5364099431486399E-003 ,  0.88934694816644178      ,   1.0146815086401348      ,   9.5364099431486399E-003 ,  0.88934694816644178      ,  -32545.985318491359     
   9.2990865815369382E-003 ,  0.92011519456424173      ,  0.95010658388805480      ,   9.2990865815369382E-003 ,  0.92011519456424173      ,  -32546.049893416111     
   9.0389150665580262E-003 ,  0.91497105425021774      ,  0.97565478358460733      ,   9.0389150665580262E-003 ,  0.91497105425021774      ,  -32546.024345216414     
   1.0672339231068554E-002 ,  0.87857013634323211      ,   1.0277893044226241      ,   1.0672339231068554E-002 ,  0.87857013634323211      ,  -32545.972210695578     
   1.0208579493446656E-002 ,  0.90817587099306130      ,  0.97992828810378929      ,   1.0208579493446656E-002 ,  0.90817587099306130      ,  -32546.020071711897     
