 sigma_hat,alpha_hat,m_hat,sigma_hatError,alpha_hatError,m_hatError                                  
   1.3416645378896804E-002 ,   2.4987712222353218      ,   13.891973404238689      ,   1.3416645378896804E-002 ,   2.4987712222353218      ,  -32505.108026595761     
   1.3409554313235327E-002 ,   2.5143155933805947      ,   14.647871552237330      ,   1.3409554313235327E-002 ,   2.5143155933805947      ,  -32504.352128447761     
   1.3234480484769400E-002 ,   2.4889588980847894      ,   14.486066144117355      ,   1.3234480484769400E-002 ,   2.4889588980847894      ,  -32504.513933855884     
   1.3317132270906234E-002 ,   2.5030426694640138      ,   14.155199808363989      ,   1.3317132270906234E-002 ,   2.5030426694640138      ,  -32504.844800191637     
   1.3412225374741713E-002 ,   2.5142245096198876      ,   14.195609934279362      ,   1.3412225374741713E-002 ,   2.5142245096198876      ,  -32504.804390065721     
   1.3057390022973370E-002 ,   2.4935803996859476      ,   14.103144654376623      ,   1.3057390022973370E-002 ,   2.4935803996859476      ,  -32504.896855345622     
   1.3336961638412474E-002 ,   2.4931180259261478      ,   13.807861879501024      ,   1.3336961638412474E-002 ,   2.4931180259261478      ,  -32505.192138120499     
   1.3556776200450654E-002 ,   2.5121379743609640      ,   14.624920552524143      ,   1.3556776200450654E-002 ,   2.5121379743609640      ,  -32504.375079447476     
   1.3251382109585423E-002 ,   2.5097670407018176      ,   13.931134980699078      ,   1.3251382109585423E-002 ,   2.5097670407018176      ,  -32505.068865019301     
   1.3288759504919518E-002 ,   2.5037449788692592      ,   14.211370001900606      ,   1.3288759504919518E-002 ,   2.5037449788692592      ,  -32504.788629998100     
   1.3398936269187032E-002 ,   2.4995409147011718      ,   13.917193760660306      ,   1.3398936269187032E-002 ,   2.4995409147011718      ,  -32505.082806239341     
   1.3418674547028411E-002 ,   2.5056744899026153      ,   13.895221549310333      ,   1.3418674547028411E-002 ,   2.5056744899026153      ,  -32505.104778450688     
   1.3400251530385163E-002 ,   2.5094023354257948      ,   14.710681106626293      ,   1.3400251530385163E-002 ,   2.5094023354257948      ,  -32504.289318893374     
   1.3425276587667555E-002 ,   2.4980076196389427      ,   13.736691798560704      ,   1.3425276587667555E-002 ,   2.4980076196389427      ,  -32505.263308201440     
