 sigma_hat,alpha_hat,m_hat
1.13E-02,0.670530101,0.658236135
1.13E-02,0.702318921,0.595569176
1.11E-02,0.720600284,0.564255043
1.13E-02,0.68616685,0.627996522
1.13E-02,0.727812668,0.562621236
1.13E-02,0.706402854,0.588639121
1.14E-02,0.758532077,0.535738328
1.13E-02,0.724306429,0.571351291
1.12E-02,0.68834555,0.610704331
1.12E-02,0.690614136,0.612295924
1.14E-02,0.710879044,0.603175737
1.12E-02,0.683791717,0.624803757
1.13E-02,0.67003532,0.647608209
1.13E-02,0.688574366,0.62278371
1.14E-02,0.669203493,0.644861187
1.13E-02,0.721136948,0.572254953
1.13E-02,0.688694062,0.62137453
1.14E-02,0.692750604,0.590245745
1.14E-02,0.704705222,0.583920825
1.14E-02,0.696467795,0.614595008
1.13E-02,0.710886689,0.585671126
1.13E-02,0.665358967,0.65854876
1.13E-02,0.696186476,0.627499316
1.11E-02,0.695540496,0.63179228
1.11E-02,0.689693477,0.604031738
1.12E-02,0.701172585,0.587610682
1.14E-02,0.722590228,0.573436997
1.12E-02,0.678295885,0.638673935
1.11E-02,0.708350005,0.601460781
1.13E-02,0.713936239,0.602034927
1.11E-02,0.705975837,0.610337103
1.15E-02,0.697347301,0.602669655
1.13E-02,0.697090452,0.59568768
1.11E-02,0.657519664,0.673106669
1.12E-02,0.67789538,0.624110208
1.12E-02,0.716255415,0.578461402
1.11E-02,0.684345344,0.614099088
1.14E-02,0.726246365,0.570554878
1.14E-02,0.728199214,0.560925147
1.13E-02,0.679953059,0.608410383
1.12E-02,0.729114871,0.561730341
1.11E-02,0.702956015,0.598049664
1.12E-02,0.744937545,0.544393619
1.15E-02,0.710959464,0.590302538
1.11E-02,0.666257216,0.645201317
1.12E-02,0.722166069,0.56159757
1.12E-02,0.757669706,0.524424206
1.13E-02,0.700772856,0.599543079
1.12E-02,0.741535849,0.547490524
1.13E-02,0.684007825,0.61540549
1.12E-02,0.714988928,0.576209508
1.14E-02,0.670672974,0.654524386
1.13E-02,0.672791592,0.640073314
1.13E-02,0.703737562,0.605109491
1.12E-02,0.724938841,0.565802214
1.13E-02,0.66680247,0.651849478
1.12E-02,0.691744669,0.612878734
1.13E-02,0.703157485,0.611711825
1.13E-02,0.730448922,0.544517999
1.12E-02,0.686870209,0.612640028
1.13E-02,0.680182113,0.638757651
1.12E-02,0.737291515,0.541405594
1.13E-02,0.64949768,0.688920578
1.13E-02,0.691602225,0.616832275
1.14E-02,0.671061587,0.658362252
1.13E-02,0.696597005,0.602552283
1.13E-02,0.694307348,0.574711945
1.13E-02,0.680675152,0.611645145
