 sigma_hat,alpha_hat,m_hat
   1.5041139160879151E-002 ,   2.4966009639412752      ,   14.865127367239410     
   1.5021445560025701E-002 ,   2.5124333348631565      ,   15.676933216396657     
   1.4993109115997806E-002 ,   2.4865006444292601      ,   15.642441406845904     
   1.4965012755130704E-002 ,   2.5009680436342823      ,   15.128843821560453     
   1.4983870769575474E-002 ,   2.5122439471211617      ,   15.154006558564033     
   1.4863825441435122E-002 ,   2.4913006113645531      ,   15.134998021398305     
   1.4986044286643940E-002 ,   2.4911206889735715      ,   14.775099711339875     
   1.4973095749752710E-002 ,   2.5107539896502411      ,   15.440558336263535     
   1.5024665301170397E-002 ,   2.5074034296817183      ,   14.974849393859859     
   1.4965223734855215E-002 ,   2.5004359862339123      ,   15.535697476520980     
   1.4864535309002233E-002 ,   2.4974647741146709      ,   14.779872488408383     
   1.4969389104463255E-002 ,   2.5037646479443887      ,   14.764485531381391     
   1.4960626782262489E-002 ,   2.5074698114556058      ,   15.730273918799083     
   1.4978668974034728E-002 ,   2.4956956049928567      ,   14.647029852383895     
   1.4946300103210285E-002 ,   2.5056819569061135      ,   14.720681029836873     
   1.5011528107635366E-002 ,   2.5045568899946473      ,   15.454809055502347     
   1.4995128932935017E-002 ,   2.4974199751782060      ,   16.474646460278297     
   1.5022820954348579E-002 ,   2.4968547623473527      ,   14.912359741453081     
   1.4962721525982488E-002 ,   2.4986363591787284      ,   14.852200546654840     
   1.5015317746900871E-002 ,   2.5025927334987310      ,   13.997589163347431     
   1.4920614340898402E-002 ,   2.5016102694006612      ,   14.854564048218981     
   1.5102841166478250E-002 ,   2.5112494558359364      ,   14.473059404202125     
   1.5033252638219254E-002 ,   2.5009510656928966      ,   15.749838277047107     
   1.4970814947716212E-002 ,   2.5165469916108787      ,   14.328936527234124     
   1.4974802079379766E-002 ,   2.5012423098714476      ,   15.127234998495496     
   1.4917997595744588E-002 ,   2.4877870134322744      ,   15.253753720718334     
   1.4969013378241669E-002 ,   2.4889372402148644      ,   14.636619993328452     
   1.4906941720438922E-002 ,   2.5047383027243719      ,   14.889017899575435     
   1.4852168864498175E-002 ,   2.5010575278894236      ,   15.075028056952378     
   1.4996876260256383E-002 ,   2.5054886388242670      ,   15.081889181043984     
   1.4902403375664867E-002 ,   2.5032101609153887      ,   14.809337934874705     
   1.5010804738978338E-002 ,   2.5031196690453301      ,   15.195552091142837     
   1.4953939853146725E-002 ,   2.4850648364801748      ,   16.226221151903054     
   1.4958401799764504E-002 ,   2.4997144736565362      ,   14.933786702195524     
   1.4979044230093001E-002 ,   2.4931948981836300      ,   14.634755375589997     
   1.5006841846700834E-002 ,   2.5061684302759746      ,   14.064506235537719     
   1.5053061911526104E-002 ,   2.4948030787573092      ,   15.567951671296852     
   1.4991560267272349E-002 ,   2.5088985374478048      ,   14.223833783931925     
   1.4919253184715396E-002 ,   2.4986058222353833      ,   15.161218595067901     
   1.5020292392047167E-002 ,   2.5131081947852092      ,   14.493956337547544     
   1.5054027808711885E-002 ,   2.4898589017801482      ,   15.042847624741411     
   1.4962980767108853E-002 ,   2.5214188980875432      ,   14.907965171418956     
   1.4921352927128194E-002 ,   2.5142977620738796      ,   14.658657813365769     
   1.5073368502673788E-002 ,   2.5091938398882183      ,   15.769822717088255     
   1.5004087540552788E-002 ,   2.5056389159131851      ,   15.790141980883353     
   1.4986306410508880E-002 ,   2.5091874110042749      ,   15.847652593887982     
   1.5048822792978955E-002 ,   2.5109610708964678      ,   14.321445291492147     
   1.4952108027344766E-002 ,   2.5093860679682698      ,   16.081258603645825     
   1.4989184703707274E-002 ,   2.5050122042513006      ,   14.704927232715283     
   1.4963001544922021E-002 ,   2.5130127480810587      ,   15.039321496275178     
